global_step,epoch,step_in_epoch,lr,loss,acc1,acc5,,,,
339,2,122,0.00003955,4.887305,0,0,,,,
340,2,123,0.00003954,4.727637,0,0.05,,,,
341,2,124,0.00003954,4.758399,0,0.1,,,,
342,2,125,0.00003954,4.966406,0,0.05,,,,
343,2,126,0.00003954,5.164258,0,0,,,,
344,2,127,0.00003954,4.728418,0,0.05,,,,
345,2,128,0.00003954,4.622559,0,0.1,,,,
346,2,129,0.00003954,5.019141,0,0,,,,
347,2,130,0.00003953,4.725488,0,0,,,,
348,2,131,0.00003953,4.965234,0,0.05,,,,
349,2,132,0.00003953,4.740723,0,0,,,,
350,2,133,0.00003953,4.748242,0,0.1,,,,
351,2,134,0.00003953,4.916406,0,0,,,,
352,2,135,0.00003953,5.010156,0,0,,,,
353,2,136,0.00003953,4.640234,0.05,0.15,,,,
354,2,137,0.00003953,4.61836,0.05,0.15,,,,
355,2,138,0.00003952,5.116797,0,0,,,,
356,2,139,0.00003952,4.626563,0,0.25,,,,
357,2,140,0.00003952,5.007617,0,0,,,,
358,2,141,0.00003952,4.663184,0,0.05,,,,
359,2,142,0.00003952,4.769336,0,0.05,,,,
360,2,143,0.00003952,5.003808,0,0,,,,
361,2,144,0.00003952,4.793262,0.05,0.1,,,,
362,2,145,0.00003951,4.778125,0,0,,,,
363,2,146,0.00003951,4.835742,0.05,0.05,,,,
364,2,147,0.00003951,4.817481,0,0.05,,,,
365,2,148,0.00003951,4.714942,0.05,0.1,,,,
366,2,149,0.00003951,4.779101,0,0.15,,,,
367,2,150,0.00003951,4.826074,0,0,,,,
368,2,151,0.00003951,4.953321,0.05,0.05,,,,
369,2,152,0.0000395,5.090137,0,0,,,,
370,2,153,0.0000395,4.680469,0,0.05,,,,
371,2,154,0.0000395,4.725293,0,0.05,,,,
372,2,155,0.0000395,4.702637,0,0,,,,
373,2,156,0.0000395,4.531738,0.1,0.15,,,,
374,2,157,0.0000395,4.784863,0.05,0.1,,,,
375,2,158,0.0000395,5.107422,0,0.05,,,,
376,2,159,0.00003949,5.009863,0,0.05,,,,
377,2,160,0.00003949,4.80791,0,0.05,,,,
